"","eventtype_ID","name","code","goldstein","nsLeft","nsRight","description","usage_notes","example","root_code","order"
"67",67,"Express intent to accept mediation","038",7,132,133,"Offer, promise, agree to, or otherwise indicate willingness or commitment to accept mediation. ","This code represents adversaries’ commitments to receive mediation by third parties. The latter should be coded as targets, while the source has to be one or more of the parties in conflict for this event. Note that when reports involve references to mediation specifically, mediation-related codes such as this take precedence over others, such as ‘Agree to meet or negotiate,’ ‘Make a visit,’ ‘Host a visit,’ and ‘Meet at a third location.’ For commitments by third parties to mediate refer to code 039 instead. For simple suggestions by actors other than adversaries and potential mediators that mediation occurs, use ‘Appeal to others to engage in or accept mediation’ (028). ","Afghan rebel leaders said on Wednesday they would meet U.N. mediator Diego Cordovez if he gave them a veto over any settlement reached in peace talks. ","03",67
"68",68,"Express intent to mediate","039",5,134,135,"Offer, promise, agree to, or otherwise indicate willingness or commitment to play the role of a mediator. ","This code represents a commitment by third parties to mediate between parties in conflict. The former should be coded as source and the later as targets for this event. Note that when reports involve references to mediation specifically, mediation-related codes such as this take precedence over others, such as ‘Agree to meet or negotiate,’ ‘Make a visit,’ ‘Host a visit,’ and ‘Meet at a third location.’ For commitments of adversaries to accept mediation by actors other than the adversaries and potential mediators that mediation occurs, refer to ‘Appeal to others to engage in or accept mediation’ (028). ","Gambian President Dawda Jawara will visit Mauritania and Senegal to mediate in a border dispute between the two West African neighbors, diplomatic sources said on Wednesday. Note: Given the wording used in this particular lead, which implies that Mauritania and Senegal have already agreed to Gambia’s mediation, two types of linked events are coded—‘Express intent to mediate’ (036) with the Gambian president as the source, and ‘Express intent to accept mediation’ (035) with Mauritania and Senegal as sources. Two different events are coded for each of these event types since Mauritania and Senegal are compound actors. ","03",68
"69",69,"CONSULT","04",1,137,152,NA,NA,NA,"04",69
"70",70,"Consult","040",1,138,139,"All consultations and meetings not otherwise specified. ","This residual category is not coded except when distinctions among 041 through 044 cannot be made. Note that events coded under 04 are typically, although not always, reciprocal events. ","A group of African diplomats held their first meeting with President Parvanov at a lunch hosted by the Ambassador of Kingdom of Morocco. Note: This lead is coded as 040 since the place of the meeting is not explicit in the lead, hence we cannot code it as a visit made or hosted, and no negotiations are implied (so, we cannot code it as ‘Engage in negotiation’). ","04",70
"71",71,"Discuss by telephone","041",1,140,141,"Consult, talk on the telephone. ","This is typically a reciprocal event. The nature of the phone conversation is not of significance. ","U.S. Secretary of State Warren Christopher telephoned Russian Foreign Minister Andrei Kozyrev on Tuesday to discuss efforts to forge a peace settlement in former Yugoslavia, Itar-Tass news agency said. Note: Two events of the same type are coded with actors reversed. ","04",71
"72",72,"Make a visit","042",1.9,142,143,"Travel to another location for a meeting or other event. ","All visits and travels should be coded under this category. Note that this event is typically accompanied by the linked event ‘Host a visit’ (043). If mediation or negotiation is mentioned specifically as having taken place, those events take precedence over unspecified visits or meetings. ","Taiwan’s Vice Foreign Minister visited Russia today, becoming the island’s highest ranking government official to go there. Note: Two events are coded: 042 with the Taiwanese government as the source and Russia as the target, and 043 with actors reversed. ","04",72
"73",73,"Host a visit","043",2.8,144,145,"Host or receive a visitor at residence, office or home country. ","This event is typically accompanied by the linked event ‘Make a visit’ (042). If mediation or negotiation is mentioned specifically as having taken place, those events take precedence over unspecified visits or meetings. ","Russian President Boris Yeltsin on Saturday hosted Japanese Prime Minister Ryutaro Hashimoto in this Siberian city for an informal meeting aimed at establishing close personal relations between the two leaders. Note: Two events are coded: 043 with the Russian government as the source and the Japanese government as the target, and 042 with the actors reversed. ","04",73
"74",74,"Meet at a 'third' location","044",2.5,146,147,"Meet, come together, gather with others at a neutral location, some place with which none of the attending parties are associated. If mediation or negotiation is mentioned specifically as having taken place, those events take precedence over unspecified visits or meetings. ","This event type is typically accompanied by two other linked events, ‘Make a visit’ (042) and ‘Host a visit’ (043), and the event itself is reciprocal. For 044, the source and the target are the actors who are meeting; the location of the meeting is ignored. ","U.S. and Soviet negotiators return to Geneva this week for talk on limiting the number of European-based nuclear missiles, an issue likely to dominate East-West relations this year. Note: Six events are coded: two reciprocal ‘Meet at a third location’ events with US and the Soviet Union as actors; two ’‘Make a visit’ events with Switzerland as the target, and the US and the Soviet Union as the two different sources; and two ‘Host a visit’ events with Switzerland as the source and the US and the Soviet as the two different targets. ","04",74
"75",75,"Mediate","045",5,148,149,"Mediate between two or more parties. ","This event code should be used only when a party meets with others explicitly as a mediator. The source is always the mediator and adversaries are the targets. All other cases of meetings and negotiations, where the purpose of the meeting or the role of the source actor is not specified, should be coded elsewhere under category 04. If meetings, discussions, or negotiations are explicitly reported as involving mediators, the mediation code takes precedence as long as the party acting as the mediator is identified in the lead. ","Arab League Secretary General Chadli Klibi undertook mediation mission between Syria and Palestinian leader Yasser Arafat. Note: Because of the compound target actor, two events are coded. ","04",75
"76",76,"Engage in negotiation","046",7,150,151,"Negotiate or bargain with others. ","This event code should be used only when the report makes clear that negotiations, bargaining, or discussions are involved in the meetings or consultations in question. “Holding talks” and “discussions” are treated as negotiations. These are reciprocal events. ","Israel and Lebanon renewed negotiations today on an Israeli troop pullback from Lebanon and their future relations. Note: Two 046 events are coded with actors reversed. ","04",76
"77",77,"ENGAGE IN DIPLOMATIC COOPERATION","05",3.5,153,170,NA,NA,NA,"05",77
"78",78,"Engage in diplomatic cooperation","050",3.5,154,155,"Initiate, resume, improve, or expand diplomatic, non-material cooperation or exchange not otherwise specified. ","This residual category is not coded except when the support in question cannot be further specified and codes 051-057 cannot be used. ","Czechoslovakia and Albania have upgraded their diplomatic ties back up to ambassadorial level after an 18-year break, the official CTK news agency said on Wednesday. Note: Two reciprocal events are coded with actors reversed. ","05",78
"79",79,"Praise or endorse","051",3.4,156,157,"Express support for, commend, approve policy, action, or actor. ","This event form is typically, although not exclusively, a verbal act. ","A top U.S. official today praised Haiti’s efforts to improve its record on ","05",79
"80",80,"Defend verbally","052",3.5,158,159,"Defend verbally, justify policy, action or actor. ","This event form is a verbal act. Use this code only for political, diplomatic, and non-material defense; military cooperation or defense should be coded elsewhere. ","The United States on Thursday defended the right of Soviet troops to fire protectively on militants in Azerbaijan and insisted unrest there reflected age-old ethnic tensions, not a fight for political independence. ","05",80
"81",81,"Rally support on behalf of","053",3.8,160,161,"Call on other parties to support the target. ","This event form is typically, although not exclusively, a verbal act. Use this event form to code instances where one party (the source) solicits the support of third parties for another party (the target). ","Arab League Secretary-General Chedli Klibi today urged the European Community to support the Palestinian Liberation Organization (PLO), which he said would create a favorable climate for peace talks. ","05",81
"82",82,"Grant diplomatic recognition","054",6,162,163,"Grant diplomatic recognition, initiate diplomatic relations with a state or a government. ","This event form is typically, although not exclusively, a verbal act. Recognition of newly independent states, new governments that might have come to power through unconventional means, and initiation of diplomatic ties with an entity for the first time are all coded here. ","Sri Lanka has established diplomatic ties with and opened an embassy in Tehran, the foreign ministry said on Wednesday. ","05",82
"83",83,"Apologize","055",7,164,165,"Express regret or remorse for an action or situation. ","Although this event form is typically a verbal act, it should also be used to code all nonverbal acts that express remorse. ","Argentina has apologized to Brazil for one of its gunboats intercepting a Brazilian ship in the Beagle Channel, disputed by Argentina and Chile. ","05",83
"84",84,"Forgive","056",7,166,167,"Express forgiveness, pardon. ","Use this event form to code verbal and nonverbal gestures of forgiveness and explicitly conciliatory actions or announcements. Formal pardons and amnesties of arrested persons, as well as the release or exchange of prisoners, should be coded as CAMEO  0831 instead. ","A group of Yoruba leaders announced yesterday that they are willing to forgive President Olusegun Obasanjo and queue behind him for a second term. ","05",84
"85",85,"Sign formal agreement","057",8,168,169,"Ratify, sign, finalize an agreement, treaty. ","This category excludes promises to sign or ratify agreements and treaties. Events should be coded under this category only when agreements are reportedly finalized or signed. This event code is typically reciprocal. Even when the agreement in question implies a formal commitment to boost material cooperation, provide aid, or yield in some way, the event of signing the agreement or treaty is still coded here since signing of an agreement or treaty represents diplomatic cooperation but does not guarantee implementation— whatever its terms. ","Libyan leader Muammar Gaddafi and Bulgarian President Todor Zhivkov today signed a treaty of friendship and cooperation, the BTA reported. Note: Two reciprocal events are coded with actors reversed. ","05",85
"86",86,"ENGAGE IN MATERIAL COOPERATION","06",6,171,182,NA,NA,NA,"06",86
"87",87,"Engage in material cooperation","060",6,172,173,"Initiate, resume, improve, or expand material cooperation or exchange, not otherwise specified. ","This residual category is not coded except when distinctions among codes 061-064 cannot be made. ","Taliban ruled Afghanistan has been sharing expertise with the Liberation Tigers of Tamil Eelam according to a special report submitted to the Canadian Security Intelligence Service. Note: Two reciprocal events are coded with actors reversed. ","06",87
"88",88,"Cooperate economically","061",6.4,174,175,"Initiate, resume, improve, or expand economic exchange or cooperation. ","Trade relations and other economic exchanges that are reciprocal in nature— event if the particular event in question cannot be coded as reciprocal— should be coded here. Unilateral and potentially altruistic provisions of economic aid should be coded as 071 instead. ","European foreign direct investment flows in Latin America and the Caribbean rose more than eightfold during the second half of the 1990s compared with the first half of that decade, according to a study presented in Paris by the Inter-American Development Bank. Note: Two 061 events are coded due to the compound target. ","06",88
"89",89,"Cooperate militarily","062",7.4,176,177,"Initiate, resume, improve, or expand military exchange or cooperation. ","Military exchanges such as joint military games and maneuvers should be coded here. Unilateral and potentially altruistic provisions of aid should be coded under ‘Provide Aid’ (07) instead. ","French and Egyptian warships on Monday launched 10 days of war games in the Mediterranean Sea, expected to be joined later by Italian and German vessels, the French embassy said Monday. Note: Two reciprocal events are coded with actors reversed. ","06",89
"90",90,"Engage in judicial cooperation","063",7.4,178,179,"Initiate, resume, improve, or expand judicial cooperation. ","This code represents cooperation on judicial matters, such as extraditions and war crimes. ","Zambia extradited suspected British militant Haroon Rashid Aswad to Britain on Sunday, a senior Zambian government official said. Note: Given that this is a cooperative code, the location where the subject is being extradited to—and not the identity of the suspect—should be coded as the target. ","06",90
"91",91,"Share intelligence or information","064",7,180,181,"Provide, share, or exchange intelligence or information. ","Voluntary exchanges or sharing of intelligence and other significant information should be coded here. ","Israeli intelligence officials have shared evidence with the U.S. about contacts between al Qaeda and senior members of Saddam Hussein’s Ba’ath Party, according to governmental officials. ","06",91
"92",92,"PROVIDE AID","07",7,183,196,NA,NA,NA,"07",92
"93",93,"Provide aid","070",7,184,185,"All provisions, extension of material aid, not otherwise specified. ","This residual category is not coded except when distinctions among codes 071-075 cannot be made. In order to be coded under this category, the leads must report the delivery of aids; promises to provide aid should be coded under category 033 instead. ","Doctors from two American aid groups donated and personally delivered $50,000 worth of goods to Baghdad University Medical School, risking as much as 12 years in prison and $500,000 in fines. ","07",93
"94",94,"Provide economic aid","071",7.4,186,187,"Extend, provide monetary aid and financial guarantees, grants, gifts and credit. ","The lead must report the delivery of such aid; promises to provide aid should be coded under 033 instead. Debt relief should also be coded as 071. ","The European Community on Monday gave the Ivory Coast 5.1 million dollars of aid for agricultural development projects. ","07",94
"95",95,"Provide military aid","072",8.3,188,189,"Extend, provide military and police assistance including arms and personnel. ","The lead must report the delivery of such aid; promises to provide aid should be coded under category 033 instead. ","The United States continued to send arms to Pakistan last year, a State Department Spokesman said Wednesday. ","07",95
"96",96,"Provide humanitarian aid","073",7.4,190,191,"Extend, provide humanitarian aid, mainly in the form of emergency assistance. ","This code refers to events such as provisions of shelter, food, medicine, and evacuation of victims. The lead must report the delivery of such aid; promises to provide aid should be coded under category 033. Note that provisions of peacekeeping or other military forces are coded as 074 instead. ","Swiss doctors handed over 700 kg of medicine to the Red Crescent in Bam, Iran, according to the Swiss Agency for Development and Cooperation. ","07",96
"97",97,"Provide military protection or peacekeeping","074",8.5,192,193,"Provide peacekeepers or other military forces for protection, extend or expand their mandates. ","Code here reported deployment of forces; verbal promises and commitments to provide peacekeepers should be coded as 034. Note that this event form is accompanied by the linked event ’Receive deployment of peacekeepers’ (084). ","The first deployment of NATO peacekeeping troops have arrived in Bosnia, Defense Secretary William Perry said. ","07",97
"98",98,"Grant asylum","075",7,194,195,"Provide, grant asylum to persons. ","Asylum is typically granted by states to persons in its territories (territorial asylum) and it constitutes a legal protection awarded to those persons against other states. Diplomatic asylum, protection typically accorded on the premises of an embassy, can also be granted and is similarly coded here. Not that ‘Grant asylum’ refers to a specific legal event type; informal provisions of shelter or opening of borders to masses of refugees should be coded as ‘Provide humanitarian aid’ (073) instead. ","Peru has granted diplomatic asylum to five Panamanian army officers holed up in a diplomatic residence since last month’s U.S. invasion, the Peruvian embassy said on Tuesday. ","07",98
"99",99,"YIELD","08",5,197,248,NA,NA,NA,"08",99
"100",100,"Yield","080",5,198,199,"All yieldings, concessions not otherwise specified. ","This residual category is not coded except when distinctions among codes 081-087 cannot be made. Not that all of the event forms under this category refer to reported yieldings and tot to future commitments, agreements, or promises. ","Uganda said on Sunday it had paid compensation to 67 elderly British nationals, most of the Asians, for assets they lost when former dictator Idi Amin expelled them 18 years ago. ","08",100
"101",101,"Ease administrative sanctions","081",5,200,209,"Relax or remove all administrative non-force sanctions and penalties, not otherwise specified. ","This event category contains sub-forms for more detailed coding whenever possible. ","President Omar Hassan al-Bashir, following the partial peace deal, has taken several tentative steps to enhance political freedoms and promote an image of openness and tolerance in Sudan. ","08",101
"102",102,"Ease restrictions on political freedoms","0811",5,201,202,"Relax or remove administrative restrictions on fundamental political freedoms such as freedoms of speech, expression, and assembly. ",NA,"The Latvian Constitutional Court cancelled restrictions on the use of the ","08",102
"103",103,"Ease ban on political parties or politicians","0812",5,203,204,"Relax or remove administrative restrictions on the establishment or activities of political parties or certain politicians. ",NA,"The Ivory Coast’s Supreme Court decided to allow candidate Alassane Ouattara to participate in the country’s upcoming elections. ","08",103
"104",104,"Ease curfew","0813",5,205,206,"Relax or remove regulations that require people to be off the streets at a given hour. ",NA,"Yugoslavia lifted a night curfew in Kosovo where 28 people have been killed in ethnic riots this year and the province was reported quiet on Sunday. ","08",104
"105",105,"Ease state of emergency or martial law","0814",5,207,208,"Relax or remove emergency regulations that suspend certain given rights, or relax or remove temporary rule by military authorities. ",NA,"Yugoslavia eased emergency measures on Wednesday in Kosovo province, the scene of ethnic violence last March, as authorities in Croatia cracked down on Serbian nationalists. ","08",105
"106",106,"Ease political dissent","082",5,210,211,"Cancel, suspend, or postpone any (non-war) activity that constitutes political dissent. ","Use this code for concessions by opposition groups in form of ending or putting on hold demonstrations, protests, rallies, etc. ","The Nigerian Union of Teachers (NUT), the umbrella union for primary school teachers, announced Thursday that it has called off a four-day strike after deliberations with the Nigerian government. ","08",106
"107",107,"Accede to requests or demands for political reform","083",5,212,221,"Yield by instituting requested political changes. ","Note that this event type is different from ‘Express intent to institute political reform’ (034) as it involves the actual event of change—not just its promise. Just like military forms of yield, these could be voluntary concessions or involuntary surrenders. ","The Rwandan government on Thursday accepted demands from Hutu rebels that it initiate political reforms. ","08",107
"108",108,"Accede to demands for change in leadership","0831",5,213,214,"Yield by relinquishing political power. ","Use this code when source surrenders power after being challenged through legitimate institutional channels (e.g. elections) or other coercive strategies (e.g. military coups). The target can either be the challenger(s) or the country as a whole. ","Tuesday the Serbian parliament approved a “special law” recognizing victories by Zoran Djindjic’s opposition coalition in November 17 municipal elections in 14 of the 18 most important Serbian cities, including Belgrade. ","08",108
"109",109,"Accede to demands for change in policy","0832",5,215,216,"Yield by instituting demanded policy changes. ","Note the difference between policy and institutional change; the former can relate to any issue (economic, social, etc.) but it does not change the rules by which the political system functions. If another code within category 08 fits the policy in question more specifically, that code should take precedence ","As part of its fight to eradicate poverty, the governing Labour Party has introduced a legally-binding minimum rate of pay in Britain for the first time. ","08",109
"110",110,"Accede to demands for rights","0833",5,217,218,"Yield by establishing, providing, or respecting political, social, or other rights. ","Allowing repatriation of refugees should also be coded here. If another code within category 08 fits the rights in question more specifically, that code should take precedence (e.g. respecting property rights by returning confiscated property should be coded as 0842 instead). ","The Federal Minister for Interior Aftab Ahmad Khan Sherpao allowed opposition leader Maulana Fazl-ur-Rehman to bring out ‘Shan-e-Mustafa (SAW)’ Rally after an agreement on carrying out a violence free protest demonstration, according to the Pakistani Federal Secretary Interior. ","08",110
"111",111,"Accede to demands for change in institutions, regime","0834",5,219,220,"Yield by undertaking major reforms that change how the political system functions. ","Changes from one type of a political system to another (e.g. from military dictatorship to multiparty democracy), as well as less comprehensive institutional changes that nevertheless modify the rules of the game (e.g. political party laws, electoral laws, powers and functions of different branches) are coded here. ","President Dos Sontas has reportedly conceded at last to demands from National Union for the Total Independence of Angola (UNITA) to overhaul the judiciary. ","08",111
"112",112,"Return, release","084",7,222,227,"All acts of releasing or returning not otherwise specified. ","This category contains sub-forms for more detailed coding whenever possible. ","According to a zoo spokesperson Malaysian authorities have initiated the process of returning the four baby gorillas to Nigeria, amid speculations they were illegally captured in the wild. ","08",112
"113",113,"Return, release person(s)","0841",7,223,224,"Release people, including prisoners and hostages, from detention or arrest. ","Formal pardons, amnesties, commutations, and exchanges of prisoners should all be coded here. ","Polish police today released the correspondent of the American news agency United Press International, who was detained for 23 hours and questioned in connection with an inquiry into alleged illegal activities. ","08",113
"114",114,"Return, release property","0842",7,225,226,"Return or release previously controlled, confiscated property, including land. ","When confiscated property or other rights are not returned but compensation is provided instead, those incidents should be coded as 080. ","French maritime authorities today release an impounded ship operated by the Greenpeace ecology movement, port officials said. ","08",114
"115",115,"Ease economic sanctions, boycott, embargo","085",7,228,229,"Lift, relax, or lessen economic sanctions, boycott, embargoes, or penalties. ","Use this event form to code state activities that imply easing of limitations to normal economic relations. ","Germany on Wednesday lifted sanctions against gold from South Africa in recognition of the country’s moves to abolish apartheid, a government spokesman said. ","08",115
"116",116,"Allow international involvement","086",9,230,237,"Allow entry of or intervention by international actors not further specified. ","Use the following sub-categories whenever possible. The types of interna","Kyrgyz Prime Minister Nikolai Tanaev received a mission of observers from the OSCE, informing them in detail on the economic situation of the country. ","08",116
"117",117,"Receive deployment of peacekeepers","0861",9,231,232,"Allow, receive peacekeeping forces in territories controlled by the source. ","Code here reported deployment of peacekeeping forces (with location of deployment as the source); mere promises or agreements by fighting parties or a country to accept deployment of peacekeeping forces in its territories should be coded as 0355, and commitments to provide peacekeepers should be coded as 0334. The target for an 084 event should be the actor providing the peacekeepers. Note that this event form is accompanied by the linked event ‘Provide military protection or peacekeeping’ (074). ","A first patch of Bangladeshi peacekeeping troops arrived in Sierra Leone Tuesday, joining 12 unarmed military observers as the first element of an 800-strong Bangladeshi contingent due here, U.N. officials said. Note: Two linked events (0861 and 074) are coded with actors reversed. ","08",117
"118",118,"Receive inspectors","0862",9,233,234,"Allow, receive inspectors in territories controlled by the source actor. ","Code here reported deployment or arrival of inspectors; mere promises or agreements to accept their deployment should be coded as 0355 instead. The target for an 085 event should be the inspectors or the country/agency providing them. This event form is typically accompanied by code under category 09. ","The IAEA has dispatched inspectors to Esfahan Uranium Conversion Facilities (UCF) in central Iran to monitor resumption of peaceful nuclear work at the plant. Note: Two linked events (0862 and 090) are coded with actors reversed. ","08",118
"119",119,"Allow humanitarian access","0863",9,235,236,"Allow access to, receive humanitarian agencies in territories controlled by the source actor. ","Mere promises to allow such access should be coded as 0355. Note that this event form is accompanied by the linked event ‘Provide humanitarian aid’ (073) if the target is the humanitarian agency; in some cases the target would be the particular area that is given access. ","Humanitarian access for the Darfur region has improved significantly since September as the Khartoum government tried to secure international favor. ","08",119
"120",120,"De-escalate military engagement","087",9,238,247,"Concede militarily, stop fighting, or take measures to ease military conflict or tension not further specified. ","Use sub-categories for more detailed coding whenever possible. Note that only real manifestations of de-escalation are coded here, expressions of intent to de-escalate are not. ",NA,"08",120
"121",121,"Declare truce, ceasefire","0871",9,239,240,"Declare or observe truce or ceasefire to interrupt fighting. ","Although mere declarations of ceasefire, or agreements to commence a cease-fire, do not guarantee that military engagement is actually halted, they are still coded here. The target could be the location for the ceasefire or the opponent. ","The pro-Iranian Hizbollah (Party of God) group declared a unilateral cease-fire on Wednesday in south Lebanon after 12 days of battles with the Syrian-backed Amal militia. ","08",121
"122",122,"Ease military blockade","0872",9,241,242,"Lessen or halt use of armed (military, police, or security) forces to seal off a territory to prevent exit or entry of goods and/or people. ",NA,"The Israeli army lifted Friday a day-old blockade on Palestinian lorries passing through this crossing point between the Gaza Strip and the Jewish state, officials told AFP. ","08",122
"123",123,"Demobilize armed forces","0873",9,243,244,"Hand over or otherwise reduce or eliminate arms, weapons; discharge soldiers or other armed personnel. ","The source actor for this event is the demobilizing party; the target is either the party against whom the source was formerly fighting or the actor to whom weaponry is turned in. ","One third of ethnic Albanian guerrillas operating in Macedonia have been demobilized since the August 13 peace accord between Macedonian and ethnic Albanian political parties, two rebel commanders told AFP by phone Sunday. ","08",123
"124",124,"Retreat or surrender militarily","0874",10,245,246,"Retreat, withdraw, yield control of a location or territory by pulling out armed forces. ","Note that the yielding should involve a comprehensive military disengagement, at least from a certain area of contention. ","Five hundred Ugandan rebels surrendered last week in the eastern town in Soroti followin a government offensive in the area, a local official said. ","08",124
"125",125,"INVESTIGATE","09",-2,249,260,NA,NA,NA,"09",125
"126",126,"Investigate","090",-2,250,251,"All non-covert investigations not otherwise specified. ","This residual category is not coded except when distinctions among codes 091-094 cannot be made. Also note that category 09 should be used only when investigations are being or have been carried out. Investigation of historical cases should also be coded here. ","The United Nations has sent 21 military and civilian personnel to Yugoslavia on Wednesday to investigate the feasibility of a 10,000-member peacekeeping force, a U.N. spokesman said on Monday. ","09",126
"127",127,"Investigate crime, corruption","091",-2,252,253,"Question or inquire criminal (theft, killing, etc) or corruption cases. ",NA,"Judge Alejandro Rivera opened fraud investigations against 28 Chilean government officials suspected of taking kickbacks, the court said Friday. ","09",127
"128",128,"Investigate human rights abuses","092",-2,254,255,"Inquire or search into human rights abuses such as rape, torture, targeted assassinations, and violations of basic freedoms. ","Investigations of war crimes are coded as 094 instead. Alleged or potential perpetrators should be coded as targets. ","Members of the Association of African Jurists, a body linked to the Organization of African Unity, investigated welfare of nearly 2,000 Libyans, some of whom have been held as long as seven years. ","09",128
"129",129,"Investigate military action","093",-2,256,257,"Inquire or search into military activities such as violations of ceasefire, seizures, and invasions. ","If military actions in question involve potential human rights violations or war crimes specifically, code them as 092 or 094 instead. The perpetrator of the questionable military action should be coded as the target. ","The Ceasefire Violations Committee (CFVC) has completed its investigation into an allegation by the Liberian Peace Council (LPC) that the NPFL had taken over the city of Greenville. ","09",129
"130",130,"Investigate war crimes","094",-2,258,259,"Inquire or investigate potential war crimes or look into allegations of war crimes. ","If the question surrounding a military action is not specified to be potential war crimes, 093 should be used instead. The perpetrator of the questionable military action should be coded as the target. ","Croatia is investigating alleged war crimes by Croatian extremists against Serb civilians and prisoners and will bring suspects to trial, a Croatian official said. ","09",130
"131",131,"DEMAND","10",-5,261,316,NA,NA,NA,"10",131
"132",132,"Demand","100",-5,262,263,"All demands and orders not otherwise specified. ","This residual category is not coded except when distinctions among codes 101-108 cannot be made. Note that demands are stronger or more forceful and potentially carry more serious repercussions—although not as much as threats—than simple appeals. We rely primarily on the language used by reporters to make this distinction. All demands are verbal acts. ","Poland’s parliament has demanded an immediate admission by Moscow that Soviet NKVD security forces murdered more than 15,000 captive Polish officers during World War Two. ","10",132
"133",133,"Demand material cooperation","101",-5,264,273,"Require, demand that target engages in some form of material exchange. ","Use the following sub-categories whenever possible. Demands for judicial cooperation, such as extradition of criminals, or compliance with requirements of an investigation are coded here. ","French President Jacques Chirac issued a stern reminder Saturday to Iraq that it must cooperate fully with UN inspectors probing suspect sites for weapons of mass destruction. ","10",133
"134",134,"Demand economic cooperation","1011",-5,265,266,"Require, demand that target engages in economic exchange or expands such ties. ","Use this code for demands for economic activities such as trade and investment. Demands for provision of economic aid—not mutual exchange—are coded as 1031 instead. ","The Bush administration declared Tuesday that China must drop barriers to U.S. exports or face tariff penalties for maintaining unfair trade practices. ","10",134
"135",135,"Demand military cooperation","1012",-5,267,268,"Require, demand that target engages in or expands military relations. ","Use this code for demands that target engages in military cooperation, such as through joint exercises or weapon sales. Demands for provision of military aid—not mutual exchange—are coded as 1032 instead. ","The PRC on Tuesday demanded that the US cancel plans to sell air-tosurface anti-tank weapons to Taiwan to avoid “new damage” to US-PRC relations. Note: While the requested policy does not directly involve material exchange between the source and the target, the former is clearly demanding cooperation on military issues. ","10",135
"136",136,"Demand judicial cooperation","1013",-5,269,270,"Require, demand that target engages in or expands cooperation in judicial matters. ","Use this code for demands that target engages in judicial cooperation, such as through extraditing wanted individuals. ","A senior British minister reiterated that Libya must hand over alleged bombers of the U.S. airliner as he embarked on a trip to North Africa to seek Arab support for the demand. ","10",136
"137",137,"Demand intelligence cooperation","1014",-5,271,272,"Require, demand that target exchanges intelligence or information. ","Use this code for demands that target engages in intelligence cooperation, including but not limited to the exchange of information in security matters. ","The rebel Kurdistan Workers’ Party issued a declaration demanding that the Turkish government provide information information on the safety of its leader Abdullah Ocalan. ","10",137
"138",138,"Demand diplomatic cooperation (such as policy support)","102",-5,274,275,"Require, demand expansion of diplomatic ties or cooperation. ","This code refers to demands for expanded diplomatic ties and non-tangible support on particular policies. Demands for more specific forms of diplomacy, such as mediation and negotiation are coded elsewhere within category ","Kosovo Municipality Association (AKK) officials demanded support from the Kosovo Assembly in regaining control over the properties that belonged to them before. ","10",138
"139",139,"Demand material aid","103",-5,276,285,"Require, demand provision of material assistance not otherwise specified. ","This category contains sub-forms for more detailed coding whenever possible. The source could be demanding aid for itself or on behalf of a third party; in either case, the actor who is expected to provide assistance should be coded as the target. ","The Third World Water Forum concluded on Saturday that the US and other developed nations must allocate greater financial resources to help with the battle against the global water and sanitation crisis. ","10",139
"140",140,"Demand economic aid","1031",-5,277,278,"Require, demand provision of economic assistance. ","This event form is typically, although not exclusively, a verbal act. Demands for loans or debt relief are also coded here. Demands for reciprocal economic exchange, such as trade, should be coded as 1011 instead. ","According to reports the UK is pushing hard for the US support its debt relief plan to tackle poverty in Africa. ","10",140
"141",141,"Demand military aid","1032",-5,279,280,"Require, demand provision of military assistance. ","Note that demands for military security and deployment of peacekeepers are coded as 1034 instead. height ",NA,"10",141
"142",142,"Demand humanitarian aid","1033",-5,281,282,"Require, demand provision of humanitarian aid. ","Demands by refugees to be let into the territories of other countries (which should be coded as targets) and asylum demands all fit here. These are not necessarily verbal acts; refugees could be actively seeking shelter or refuge in target countries or regions. ","Some 800,000 Iraqi Kurds sought refuge in Germany last month. ","10",142
"143",143,"Demand military protection or peacekeeping","1034",-5,283,284,"Require, demand that the target provides military protection or peacekeeping forces. ","The source that demands peacekeepers could demand that for itself or on behalf of another party. ","Ethnic Albanians in south Serbia are demanding a U.N. military presence to protect them against a heavily armed ruling Serb minority and prevent a Bosnia-style civil war, but some foreign monitors are skeptical. ","10",143
"144",144,"Demand political reform","104",-5,286,295,"Require, demand political change not otherwise specified. ","This event form refers to verbal and non-threatening appeals. Demands that take the form of demonstrations, protests, etc. are coded under category 14 instead. Source actors can be local citizens as well as international actors; they could be making the appeal on their own behalf or on behalf of others. Note that when the requested reform clearly constitutes some form of concession or yielding by the target, such as the easing of administrative sanctions, a more appropriate “Demand” code might be found under 105. ","At the end of a seminar on reform, around 100 Arab intellectuals and activists published a declaration demanding wide-ranging political changes in the Arab world. ","10",144
